District,Projected Winner,Probability,$\P_{538}(R)$,$\P_{538}(D)$
Alabama-01,{\color{Red} Byrne (R)},0.9999999981047535,0.9997,0.0003
Alabama-02,{\color{Red} Roby (R)},0.9883072891924582,0.9779800000000001,0.022019999999999998
Alabama-03,{\color{Red} Rogers (R)},0.9999999999945681,0.99826,0.0017399999999999998
Alabama-04,{\color{Red} Aderholt (R)},1.0,1.0,0.0
Alabama-05,{\color{Red} Brooks (R)},0.9999998215318932,0.99914,0.00086
Alabama-06,{\color{Red} Palmer (R)},1.0,0.9998999999999999,0.0001
Alabama-07,{\color{Blue} Sewell (D)},1.0,,1.0
Alaska-00,{\color{Red} Young (R)},0.9999866597631013,0.65384,0.34616
Arizona-01,{\color{Blue} O'Halleran (D)},0.9999999831419238,0.10884,0.89116
Arizona-02,{\color{Blue} Kirkpatrick (D)},0.9519627293974655,0.03552,0.9644800000000001
Arizona-03,{\color{Blue} Grijalva (D)},0.999999999998583,0.0001,0.9998999999999999
Arizona-04,{\color{Red} Gosar (R)},0.9999999999999993,0.99942,0.00056
Arizona-05,{\color{Red} Biggs (R)},0.9999999969101224,0.99906,0.00094
Arizona-06,{\color{Red} Schweikert (R)},0.9999985396233123,0.9080799999999999,0.09192
Arizona-07,{\color{Blue} Gallego (D)},1.0,,0.99996
Arizona-08,{\color{Red} Lesko (R)},0.9999997973404282,0.7767399999999999,0.22325999999999996
Arizona-09,{\color{Blue} Stanton (D)},0.8183111286133307,0.00512,0.99488
Arkansas-01,{\color{Red} Crawford (R)},0.9999999999975618,0.9995,0.0005
Arkansas-02,{\color{Red} Hill (R)},0.9994983566350367,0.8622,0.1378
Arkansas-03,{\color{Red} Womack (R)},0.9999999909562604,0.99914,0.00086
Arkansas-04,{\color{Red} Westerman (R)},0.9999999981021668,0.9997399999999999,0.00026
California-01,{\color{Red} LaMalfa (R)},0.9999942183546083,0.78888,0.21112000000000003
California-02,{\color{Blue} Huffman (D)},0.9999987601704586,0.0,1.0
California-03,{\color{Blue} Garamendi (D)},0.9997230102777173,0.00026,0.9997399999999999
California-04,{\color{Red} McClintock (R)},0.8707881675157807,0.8476,0.15238
California-05,{\color{Blue} Thompson (D)},1.0,,0.99984
California-06,{\color{Blue} Jefferson (D)},1.0,,0.0
California-07,{\color{Blue} Bera (D)},0.9999999640195971,0.00492,0.99508
California-08,{\color{Red} Donnelly (R)},1.0,0.0343,
California-09,{\color{Blue} McNerney (D)},0.9999982346469002,0.00068,0.99932
California-10,{\color{Red} Denham (R)},0.8140219819722827,0.22958,0.77042
California-11,{\color{Blue} DeSaulnier (D)},0.9999999998993524,0.0,1.0
California-12,{\color{Blue} Pelosi (D)},1.0,0.0,1.0
California-13,{\color{Blue} Lee (D)},1.0,,0.9999800000000001
California-14,{\color{Blue} Speier (D)},1.0,0.0,1.0
California-15,{\color{Blue} Swalwell (D)},1.0,0.0,1.0
California-16,{\color{Blue} Costa (D)},0.9999997698983227,0.01692,0.98308
California-17,{\color{Blue} Khanna (D)},1.0,0.0,1.0
California-18,{\color{Blue} Eshoo (D)},1.0,0.0,1.0
California-19,{\color{Blue} Lofgren (D)},1.0,0.0,1.0
California-20,{\color{Blue} Panetta (D)},1.0,,0.9997399999999999
California-21,{\color{Red} Valadao (R)},0.999308755211848,0.79482,0.20518
California-22,{\color{Red} Nunes (R)},0.9997879243621132,0.95552,0.04447999999999999
California-23,{\color{Red} McCarthy (R)},0.9964704042530345,0.9994,0.0006
California-24,{\color{Blue} Carbajal (D)},0.9964313541019899,0.01458,0.98542
California-25,{\color{Blue} Hill (D)},0.76487636757426,0.36916,0.63084
California-26,{\color{Blue} Brownley (D)},0.999810267381172,0.00024,0.99976
California-27,{\color{Blue} Witt (D)},1.0,,0.0
California-28,{\color{Blue} Schiff (D)},0.9999999999999455,0.0,1.0
California-29,{\color{Blue} Cárdenas (D)},0.9996013092648928,2e-05,0.9999800000000001
California-30,{\color{Blue} Sherman (D)},0.999999979164525,2e-05,0.9999800000000001
California-31,{\color{Blue} Aguilar (D)},0.9997950276244502,0.00116,0.99884
California-32,{\color{Blue} Napolitano (D)},1.0,0.0,1.0
California-33,{\color{Blue} Lieu (D)},0.9999999990532499,0.0,1.0
California-34,{\color{Blue} Gomez (D)},1.0,,0.99988
California-35,{\color{Blue} Torres (D)},1.0,0.0,1.0
California-36,{\color{Blue} Ruiz (D)},0.9999999998372613,0.00154,0.99846
California-37,{\color{Blue} Bass (D)},1.0,0.0,1.0
California-38,{\color{Blue} Sánchez (D)},0.999999999999997,4e-05,0.99996
California-39,{\color{Blue} Cisneros (D)},0.9999650116291642,0.4202,0.5798
California-40,{\color{Blue} Roybal-Allard (D)},1.0,,0.99966
California-41,{\color{Blue} Takano (D)},0.9999999999999999,8e-05,0.99992
California-42,{\color{Blue} Peacock (D)},0.8152788970981789,0.97568,0.024319999999999998
California-43,{\color{Blue} Waters (D)},1.0,0.0,1.0
California-44,{\color{Blue} Brown (D)},1.0,,0.0
California-45,{\color{Blue} Porter (D)},0.8664060319647893,0.37683999999999995,0.62316
California-46,{\color{Blue} Correa (D)},0.9999999999089387,0.0,1.0
California-47,{\color{Blue} Lowenthal (D)},1.0,0.00012,0.99988
California-48,{\color{Blue} Rouda (D)},0.6622288752576526,0.43654,0.56346
California-49,{\color{Blue} Levin (D)},0.5185748542680376,0.040060000000000005,0.95994
California-50,{\color{Red} Hunter (R)},0.9847576303466422,0.7822,0.21780000000000002
California-51,{\color{Blue} Vargas (D)},0.9999995403723014,0.0,1.0
California-52,{\color{Blue} Peters (D)},0.999999999999999,0.00044000000000000007,0.99956
California-53,{\color{Blue} Davis (D)},0.9999999998933158,2e-05,0.9999800000000001
Colorado-01,{\color{Blue} DeGette (D)},1.0,0.0,1.0
Colorado-02,{\color{Red} Yu (R)},0.8490492151848963,0.0003,0.9997
Colorado-03,{\color{Red} Tipton (R)},0.9854325181064071,0.79804,0.20196000000000003
Colorado-04,{\color{Red} Buck (R)},0.9978868755946235,0.95836,0.04164
Colorado-05,{\color{Red} Lamborn (R)},0.8826157587071726,0.9791,0.02086
Colorado-06,{\color{Blue} Crow (D)},0.9927942986085315,0.11747999999999999,0.88252
Colorado-07,{\color{Blue} Perlmutter (D)},0.9995037183548856,0.00058,0.9994
Connecticut-01,{\color{Blue} Larson (D)},1.0,0.0001,0.9998999999999999
Connecticut-02,{\color{Blue} Courtney (D)},0.9998809104764048,0.00028,0.99972
Connecticut-03,{\color{Blue} DeLauro (D)},0.9999999999999997,0.0,1.0
Connecticut-04,{\color{Blue} Himes (D)},0.9999999999996573,0.00046,0.99954
Connecticut-05,{\color{Blue} Hayes (D)},0.9995410938389532,0.025459999999999997,0.97454
Delaware-00,{\color{Blue} Rochester (D)},1.0,0.00194,0.99806
Florida-01,{\color{Red} Gaetz (R)},0.9975653859313621,0.99996,4e-05
Florida-02,{\color{Red} Dunn (R)},0.9952608704843386,0.9997399999999999,0.00026
Florida-03,{\color{Red} Yoho (R)},0.9056869222039134,0.98582,0.01418
Florida-04,{\color{Red} Rutherford (R)},0.9999875219116218,0.9998999999999999,0.0001
Florida-05,{\color{Blue} Lawson (D)},1.0,0.0,1.0
Florida-06,{\color{Red} Waltz (R)},0.9656570789020185,0.73764,0.26236
Florida-07,{\color{Blue} Murphy (D)},0.9999954715935333,0.05322,0.94678
Florida-08,{\color{Red} Posey (R)},0.9049703048154427,0.9933999999999998,0.0066
Florida-09,{\color{Blue} Soto (D)},0.999999149869571,0.01538,0.98462
Florida-10,{\color{Blue} Demings (D)},1.0,,1.0
Florida-11,{\color{Red} Webster (R)},0.9992531628118753,0.99972,0.00028
Florida-12,{\color{Red} Bilirakis (R)},0.9996549146935335,0.99494,0.00506
Florida-13,{\color{Blue} Crist (D)},0.9999941968589405,0.00132,0.9986799999999999
